[1016/160503.357:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/161503.250:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/161503.251:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/162003.407:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/163503.744:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/165004.320:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/170504.321:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/171710.057:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/172004.471:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/172757.659:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/173504.584:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/191321.960:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/191915.667:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/192822.314:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/194322.360:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/195822.375:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/201322.396:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/202822.465:ERROR:crash_report_database_win.cc(428)] unexpected header
[1016/204322.524:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/023429.559:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/024429.586:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/024429.587:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/081258.183:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/082758.583:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/083543.656:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/084258.640:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/085758.713:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/091258.802:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/092758.804:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/094300.566:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/095800.572:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/101300.620:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/102800.951:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/104300.980:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/105801.126:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/111307.451:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/124821.448:ERROR:crash_report_database_win.cc(428)] unexpected header
[1017/124910.203:ERROR:crash_report_database_win.cc(428)] unexpected header
[1104/175809.148:ERROR:settings.cc(320)] Settings magic is not 1129342067
[0317/132450.423:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.447:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132450.753:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132451.652:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.048:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
[0317/132452.494:ERROR:process_reader_win.cc(151)] SuspendThread: Access is denied. (0x5)
